v101,v025,d104,d106,d107,d108,d113,d121,d122a,d122b,v044,v133,v137,v153,v190,v501,v502,v511,v512,v730,v731,v741,v012,v745a,v745b,v746,v715,v744a,v744b,v744c,v744d,v744e
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richest,married,currently in union/living with a man,15,29,46,currently working,not paid,44,alone only,alone only,,10,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,6,1,no,middle,married,currently in union/living with a man,17,11,32,no,,28,does not own,does not own,,5,no,no,no,no,no
province 2,urban,no,no,no,no,yes,yes,no,no,woman selected and interviewed,0,1,no,poorer,married,currently in union/living with a man,15,18,42,in the past year,cash and in-kind,34,alone only,does not own,less than him,0,no,no,no,no,no
province 2,urban,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,1,no,poorer,married,currently in union/living with a man,13,25,42,currently working,in-kind only,39,does not own,does not own,,0,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,6,2,no,poorer,married,currently in union/living with a man,16,1,25,no,,18,does not own,does not own,,7,no,no,no,no,no
province 2,urban,no,yes,no,no,no,yes,no,no,woman selected and interviewed,11,1,no,middle,married,currently in union/living with a man,16,14,35,no,,31,does not own,alone only,,11,no,no,no,no,no
province 2,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,1,no,richer,married,currently in union/living with a man,16,0,24,currently working,cash only,17,does not own,does not own,less than him,11,no,no,no,no,no
province 2,urban,no,no,no,no,no,yes,no,no,woman selected and interviewed,0,1,no,richer,married,currently in union/living with a man,14,20,36,currently working,cash only,34,alone only,does not own,less than him,8,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,14,16,33,no,,31,does not own,does not own,,5,no,yes,no,no,no
province 2,urban,no,yes,no,no,yes,yes,no,no,woman selected and interviewed,0,1,no,poorer,married,currently in union/living with a man,15,8,27,in the past year,not paid,24,does not own,does not own,,7,no,no,no,no,no
province 2,urban,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,13,16,33,in the past year,cash and in-kind,30,does not own,does not own,less than him,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,2,no,richer,married,currently in union/living with a man,15,8,35,no,,23,does not own,does not own,,10,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,7,1,no,richest,married,currently in union/living with a man,17,12,33,no,,30,does not own,does not own,,11,no,no,no,no,no
province 2,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,1,no,richer,married,currently in union/living with a man,16,10,33,no,,26,does not own,does not own,,9,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,16,11,33,in the past year,not paid,28,does not own,does not own,,4,no,no,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,16,19,41,currently working,not paid,36,does not own,does not own,,8,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,9,0,no,richer,married,currently in union/living with a man,16,27,50,currently working,not paid,44,does not own,does not own,,9,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,9,1,no,middle,married,currently in union/living with a man,18,9,37,no,,28,does not own,does not own,,11,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,16,28,49,currently working,not paid,45,does not own,alone only,,9,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,15,9,26,no,,25,does not own,does not own,,9,no,no,no,no,no
province 2,rural,yes,yes,no,no,yes,no,no,no,woman selected and interviewed,2,0,no,middle,married,currently in union/living with a man,17,0,21,no,,18,does not own,does not own,,0,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,10,1,no,richer,married,currently in union/living with a man,15,7,27,no,,23,does not own,does not own,,6,no,no,no,no,no
province 2,rural,,,,,,no,no,no,woman selected and interviewed,0,0,no,middle,never in union,never in union,,,,no,,16,does not own,does not own,,,no,no,no,no,no
province 2,rural,no,yes,yes,yes,no,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,15,17,37,in the past year,cash and in-kind,33,does not own,does not own,less than him,0,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,3,1,no,richer,married,currently in union/living with a man,17,8,32,no,,25,does not own,alone only,,2,no,yes,no,no,no
province 2,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,1,no,poorer,married,currently in union/living with a man,14,16,38,currently working,not paid,31,does not own,alone only,,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,17,5,25,currently working,cash only,23,does not own,does not own,less than him,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,"yes, more than once",no,woman selected and interviewed,0,3,no,middle,married,currently in union/living with a man,16,13,30,currently working,not paid,29,does not own,does not own,,0,no,no,no,no,no
province 2,urban,no,yes,yes,no,yes,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,20,18,45,currently working,cash and in-kind,39,does not own,alone only,less than him,11,yes,yes,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,17,15,35,in the past year,not paid,33,does not own,does not own,,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,2,1,no,middle,married,currently in union/living with a man,16,12,31,no,,28,does not own,alone only,,0,no,no,no,no,no
province 2,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,15,26,46,no,,42,does not own,alone only,,4,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,15,8,29,in the past year,in-kind only,24,does not own,does not own,,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,15,2,20,no,,18,does not own,does not own,,10,no,no,no,no,no
province 2,urban,yes,yes,yes,yes,yes,no,no,no,woman selected and interviewed,0,0,not a dejure resident,poorest,married,currently in union/living with a man,16,8,33,in the past year,cash and in-kind,25,does not own,does not own,less than him,2,no,no,no,no,no
province 2,urban,no,yes,yes,no,yes,no,no,no,woman selected and interviewed,0,0,no,poorest,married,currently in union/living with a man,17,30,58,no,,48,does not own,does not own,,0,yes,no,no,no,yes
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,15,21,41,currently working,cash only,37,does not own,does not own,less than him,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,"yes, more than once","yes, more than once",woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,16,2,22,no,,19,does not own,does not own,,0,no,no,no,no,no
province 2,urban,yes,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,15,27,45,currently working,not paid,43,does not own,does not own,,8,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richest,married,currently in union/living with a man,21,24,47,no,,45,does not own,alone only,,10,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,2,1,no,richer,married,currently in union/living with a man,13,15,34,no,,28,does not own,does not own,,10,no,no,no,no,no
province 2,rural,no,no,no,no,yes,don't know,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,15,14,32,currently working,cash only,29,does not own,does not own,less than him,8,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,17,8,40,currently working,not paid,25,does not own,does not own,,0,no,no,no,no,no
province 2,rural,no,yes,no,no,yes,no,no,no,woman selected and interviewed,4,2,no,middle,married,currently in union/living with a man,14,5,22,no,,19,does not own,does not own,,0,no,no,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,1,no,richer,married,currently in union/living with a man,17,4,28,no,,21,does not own,does not own,,9,no,no,no,no,no
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,2,no,richer,married,currently in union/living with a man,18,22,42,currently working,cash and in-kind,40,does not own,does not own,less than him,0,yes,no,no,no,yes
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,15,13,35,no,,28,does not own,alone only,,4,no,no,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,15,25,43,no,,40,does not own,does not own,,4,no,no,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,10,1,no,richer,married,currently in union/living with a man,19,3,31,no,,22,does not own,does not own,,6,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,3,no,richer,married,currently in union/living with a man,16,31,51,no,,47,does not own,does not own,,0,no,no,no,no,no
province 2,rural,,,,,,no,no,no,woman selected and interviewed,8,0,no,richer,never in union,never in union,,,,no,,15,does not own,does not own,,,no,no,no,no,no
province 2,rural,no,yes,no,no,no,don't know,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,14,32,51,currently working,in-kind only,47,does not own,does not own,,0,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,21,25,48,no,,46,alone only,alone only,,9,yes,yes,yes,yes,yes
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,10,25,43,currently working,cash and in-kind,35,does not own,does not own,less than him,0,no,no,no,no,yes
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,17,6,26,currently working,not paid,24,does not own,does not own,,0,yes,yes,yes,no,yes
province 2,rural,no,yes,no,no,no,yes,no,no,woman selected and interviewed,0,4,no,richer,married,currently in union/living with a man,12,32,48,currently working,cash only,44,does not own,does not own,less than him,0,no,yes,yes,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,20,19,44,in the past year,cash and in-kind,40,does not own,does not own,less than him,0,no,no,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,13,20,36,currently working,cash only,33,does not own,does not own,less than him,3,no,no,no,no,no
province 2,rural,no,yes,no,no,no,yes,no,no,woman selected and interviewed,0,0,not a dejure resident,poorer,married,currently in union/living with a man,15,8,28,in the past year,not paid,23,does not own,does not own,,2,no,yes,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,11,2,no,richer,married,currently in union/living with a man,23,1,23,currently working,cash only,24,does not own,does not own,more than him,10,no,no,no,no,no
province 2,rural,yes,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,11,24,37,currently working,cash and in-kind,36,does not own,does not own,less than him,0,no,yes,no,no,yes
province 2,rural,,,,,,no,no,no,woman selected and interviewed,5,0,no,richer,never in union,never in union,,,,currently working,cash and in-kind,17,does not own,does not own,,,no,no,no,no,yes
province 2,rural,no,no,no,no,no,yes,no,no,woman selected and interviewed,0,2,no,richer,married,currently in union/living with a man,17,15,35,no,,32,does not own,alone only,,0,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,15,19,41,currently working,cash and in-kind,34,does not own,does not own,less than him,0,no,yes,no,no,no
province 2,rural,no,no,no,no,no,yes,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,16,28,50,currently working,not paid,44,does not own,does not own,,0,no,yes,no,no,yes
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,2,no,richer,married,currently in union/living with a man,14,6,23,no,,21,does not own,does not own,,5,no,no,no,no,no
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,not a dejure resident,middle,married,currently in union/living with a man,18,15,40,currently working,cash and in-kind,33,does not own,does not own,more than him,0,no,yes,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,16,3,40,no,,20,does not own,does not own,,8,no,yes,no,no,no
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,15,23,40,no,,38,does not own,does not own,,11,no,no,no,no,no
province 2,rural,no,yes,yes,no,no,no,no,no,woman selected and interviewed,0,0,no,poorer,no longer living together/separated,formerly in union/living with a man,15,15,,no,,30,does not own,does not own,,,yes,yes,yes,yes,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,5,no,middle,married,currently in union/living with a man,15,3,25,no,,18,does not own,does not own,,0,no,yes,no,no,no
province 2,rural,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,16,21,39,no,,37,does not own,does not own,,8,no,no,no,no,no
province 2,rural,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,15,19,41,currently working,in-kind only,35,does not own,does not own,,0,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,16,32,52,currently working,cash only,48,does not own,alone only,less than him,0,no,yes,no,yes,yes
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,1,no,middle,married,currently in union/living with a man,19,6,32,no,,25,does not own,does not own,,9,no,no,no,no,no
province 2,urban,yes,yes,yes,yes,no,no,no,no,woman selected and interviewed,5,0,no,middle,married,currently in union/living with a man,12,28,44,currently working,cash only,40,does not own,does not own,less than him,0,no,no,no,no,yes
province 2,urban,,,,,,no,no,no,woman selected and interviewed,9,1,not a dejure resident,richer,never in union,never in union,,,,no,,17,does not own,does not own,,,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,7,1,no,middle,married,currently in union/living with a man,16,14,40,no,,30,does not own,does not own,,10,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,8,1,no,richer,married,currently in union/living with a man,17,10,30,currently working,cash only,27,does not own,does not own,less than him,8,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,8,0,no,middle,married,currently in union/living with a man,19,12,37,no,,31,does not own,does not own,,8,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,6,1,no,richer,married,currently in union/living with a man,13,7,30,no,,20,does not own,does not own,,5,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,13,30,48,in the past year,not paid,44,does not own,does not own,,9,no,no,no,no,no
province 2,urban,yes,yes,yes,yes,no,yes,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,14,16,30,no,,30,does not own,alone only,,9,no,no,no,no,no
province 2,urban,no,yes,yes,no,yes,no,no,no,woman selected and interviewed,0,1,no,richer,married,currently in union/living with a man,11,31,54,currently working,not paid,42,does not own,alone only,,0,no,yes,yes,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,6,0,no,richer,married,currently in union/living with a man,16,1,25,no,,17,does not own,does not own,,10,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,3,no,richer,married,currently in union/living with a man,15,9,33,no,,25,does not own,does not own,,10,no,no,no,no,no
province 2,rural,no,yes,yes,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,14,18,36,no,,33,does not own,does not own,,0,yes,yes,yes,yes,yes
province 2,rural,no,yes,yes,yes,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,17,13,44,currently working,cash and in-kind,31,does not own,does not own,less than him,0,yes,no,no,yes,yes
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,12,21,38,no,,34,does not own,does not own,,0,no,no,no,no,no
province 2,rural,no,yes,yes,yes,yes,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,15,6,30,no,,21,does not own,does not own,,7,no,no,no,no,no
province 2,rural,yes,yes,no,yes,yes,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,11,15,29,in the past year,in-kind only,26,does not own,does not own,,0,yes,yes,yes,yes,yes
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,9,0,not a dejure resident,middle,married,currently in union/living with a man,16,3,25,currently working,not paid,19,does not own,does not own,,5,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,16,22,45,currently working,in-kind only,38,does not own,does not own,,0,no,yes,no,no,no
province 2,rural,,,,,,no,no,no,woman selected and interviewed,7,0,no,middle,never in union,never in union,,,,no,,15,does not own,does not own,,,no,no,no,no,no
province 2,rural,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,16,15,36,currently working,in-kind only,31,does not own,does not own,,0,no,yes,no,no,no
province 2,rural,,,,,,yes,no,no,woman selected and interviewed,0,0,no,middle,never in union,never in union,,,,no,,15,does not own,does not own,,,no,yes,no,no,yes
province 2,rural,no,yes,yes,yes,no,no,no,no,woman selected and interviewed,0,2,no,richer,married,currently in union/living with a man,17,11,31,no,,29,does not own,does not own,,5,no,yes,yes,no,yes
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,16,18,36,no,,34,does not own,alone only,,10,no,no,no,no,no
province 2,rural,no,yes,yes,yes,no,yes,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,15,13,30,currently working,cash and in-kind,28,does not own,does not own,less than him,6,no,no,no,no,no
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,15,5,35,no,,21,does not own,does not own,,5,no,no,no,no,no
province 2,urban,,,,,,no,no,no,woman selected and interviewed,0,1,no,richer,never in union,never in union,,,,no,,18,does not own,does not own,,,no,no,no,no,no
province 2,urban,yes,yes,yes,no,yes,yes,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,16,18,36,currently working,not paid,34,does not own,alone only,,0,no,no,no,no,no
province 2,urban,yes,yes,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,16,22,47,no,,38,does not own,does not own,,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,5,no,richest,married,currently in union/living with a man,15,18,36,no,,34,does not own,does not own,,8,no,no,no,no,no
province 2,urban,yes,yes,yes,no,yes,yes,no,no,woman selected and interviewed,0,2,no,middle,widowed,formerly in union/living with a man,14,34,,currently working,cash only,49,does not own,does not own,,,no,no,no,no,no
province 2,urban,no,no,no,no,yes,no,"yes, more than once",no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,14,29,46,no,,44,does not own,does not own,,0,no,no,no,no,no
province 2,urban,yes,yes,no,no,no,no,no,no,woman selected and interviewed,0,2,no,richer,married,currently in union/living with a man,14,16,32,currently working,not paid,30,does not own,does not own,,8,no,no,no,no,no
province 2,urban,,,,,,yes,no,no,woman selected and interviewed,2,0,no,poorest,never in union,never in union,,,,no,,16,does not own,does not own,,,no,no,no,no,no
province 2,urban,no,yes,no,no,yes,yes,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,15,12,34,no,,27,does not own,does not own,,0,no,no,no,no,no
province 2,urban,,,,,,no,no,no,woman selected and interviewed,0,2,no,poorer,never in union,never in union,,,,in the past year,cash and in-kind,18,does not own,does not own,,,yes,yes,no,no,no
province 2,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,18,12,48,no,,31,does not own,does not own,,0,no,no,no,no,no
province 2,urban,yes,yes,no,no,yes,yes,no,no,woman selected and interviewed,0,0,not a dejure resident,poorest,married,currently in union/living with a man,15,28,46,currently working,not paid,44,does not own,does not own,,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,8,0,no,richer,married,currently in union/living with a man,16,0,23,no,,17,does not own,does not own,,5,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,9,2,no,poorer,married,currently in union/living with a man,13,7,31,no,,20,does not own,does not own,,9,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,16,19,39,currently working,in-kind only,36,does not own,does not own,,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,"yes, more than once","yes, more than once",woman selected and interviewed,10,0,no,richer,married,currently in union/living with a man,17,24,52,no,,42,does not own,does not own,,11,yes,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,14,5,23,no,,20,does not own,does not own,,5,no,no,no,no,no
province 2,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,1,no,richer,married,currently in union/living with a man,15,9,27,currently working,not paid,24,both alone and jointly,does not own,,9,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,1,3,no,poorer,married,currently in union/living with a man,16,2,24,no,,19,does not own,does not own,,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,1,no,poorer,married,currently in union/living with a man,14,29,46,currently working,cash only,44,does not own,does not own,about the same,0,no,no,no,no,no
province 2,urban,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,no,richer,married,currently in union/living with a man,14,31,48,currently working,not paid,46,does not own,alone only,,0,no,no,no,no,no
province 2,urban,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,14,21,44,currently working,in-kind only,36,alone only,alone only,,2,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,14,12,31,currently working,cash only,26,does not own,does not own,more than him,0,no,no,no,no,no
province 2,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,1,no,richer,married,currently in union/living with a man,13,16,38,no,,30,does not own,does not own,,4,no,no,no,no,no
province 2,urban,no,yes,yes,no,yes,no,no,no,woman selected and interviewed,0,2,no,poorest,married,currently in union/living with a man,13,30,60,no,,44,does not own,does not own,,4,no,no,no,no,no
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,15,21,42,no,,37,does not own,does not own,,3,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,1,no,poorer,married,currently in union/living with a man,15,9,28,no,,25,does not own,does not own,,0,no,no,no,no,no
province 2,rural,no,yes,no,no,yes,no,no,no,woman selected and interviewed,7,0,no,richer,married,currently in union/living with a man,15,25,48,currently working,not paid,40,does not own,does not own,,10,no,yes,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,7,0,no,richer,married,currently in union/living with a man,16,16,34,currently working,not paid,33,does not own,does not own,,10,no,no,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,15,9,29,no,,25,does not own,does not own,,0,no,no,no,no,no
province 2,rural,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,18,7,32,no,,26,does not own,does not own,,5,no,yes,no,no,no
province 2,rural,yes,yes,no,no,no,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,16,32,59,in the past year,cash only,48,alone only,does not own,less than him,2,yes,yes,yes,yes,no
province 2,rural,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,15,9,30,currently working,cash only,24,does not own,does not own,about the same,0,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,2,no,middle,married,currently in union/living with a man,15,5,26,no,,20,does not own,does not own,,5,no,yes,yes,no,no
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,1,no,poorest,married,currently in union/living with a man,17,20,38,currently working,cash only,38,does not own,does not own,less than him,2,yes,yes,no,no,no
province 2,rural,yes,no,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,15,5,23,no,,20,does not own,does not own,,9,no,yes,no,no,no
province 2,rural,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,poorer,married,currently in union/living with a man,16,25,48,in the past year,not paid,42,does not own,does not own,,0,no,yes,no,no,yes
province 2,rural,no,yes,yes,no,yes,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,13,14,40,in the past year,cash and in-kind,28,does not own,does not own,less than him,7,no,yes,no,no,no
province 2,rural,no,yes,no,no,no,no,no,no,woman selected and interviewed,0,3,no,middle,married,currently in union/living with a man,16,4,26,no,,21,does not own,does not own,,10,no,yes,no,no,yes
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,3,1,no,middle,married,currently in union/living with a man,15,13,34,no,,29,does not own,does not own,,4,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,17,21,43,in the past year,cash and in-kind,38,does not own,does not own,less than him,0,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,16,22,43,in the past year,in-kind only,38,does not own,does not own,,8,no,no,no,no,no
province 2,rural,no,no,no,no,yes,no,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,20,8,35,no,,28,does not own,does not own,,0,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,1,no,middle,married,currently in union/living with a man,15,12,30,no,,28,does not own,does not own,,7,no,no,no,no,no
province 2,rural,,,,,,no,no,no,woman selected and interviewed,6,0,no,middle,never in union,never in union,,,,no,,16,does not own,does not own,,,no,no,no,no,no
province 2,rural,no,no,no,no,no,yes,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,15,5,25,no,,21,does not own,does not own,,7,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,3,no,richer,married,currently in union/living with a man,18,3,27,no,,22,does not own,does not own,,11,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,14,17,34,in the past year,not paid,32,does not own,does not own,,9,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,7,0,no,richer,married,currently in union/living with a man,15,29,53,no,,45,does not own,alone only,,11,no,yes,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,10,0,no,richest,married,currently in union/living with a man,19,23,47,currently working,cash only,42,does not own,does not own,less than him,11,no,yes,yes,no,no
province 2,rural,yes,yes,yes,yes,no,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,14,17,36,currently working,cash only,32,does not own,does not own,less than him,10,no,no,no,no,no
province 2,rural,no,no,no,no,no,no,no,no,woman selected and interviewed,6,0,no,richer,married,currently in union/living with a man,16,14,42,no,,31,does not own,does not own,,11,no,no,no,no,no
